239.111.232.29 - - [13/Aug/2023:00:01:01 +0300] "POST /main/yandex.ru HTTP/1.1" 200  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
204.129.250.166 - - [13/Aug/2023:00:01:57 +0300] "PUT /c/csharp.gcc HTTP/1.1" 400  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
66.25.244.208 - - [13/Aug/2023:00:02:52 +0300] "DELETE /c/csharp.gcc HTTP/2" 404  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
124.21.188.189 - - [13/Aug/2023:00:04:04 +0300] "POST /forum/openforums.org HTTP/2" 201  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
229.237.38.83 - - [13/Aug/2023:00:05:15 +0300] "DELETE /google.com HTTP/1.0" 200  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
125.207.66.25 - - [13/Aug/2023:00:06:38 +0300] "POST /downloads HTTP/2" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
237.159.233.211 - - [13/Aug/2023:00:07:55 +0300] "GET /downloads HTTP/1.0" 403  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
130.197.91.22 - - [13/Aug/2023:00:09:00 +0300] "GET /forum/openforums.org HTTP/2" 501  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
18.77.141.175 - - [13/Aug/2023:00:10:10 +0300] "PATCH /main/yandex.ru HTTP/1.0" 400  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
244.230.93.103 - - [13/Aug/2023:00:11:05 +0300] "GET /c/csharp.gcc HTTP/1.1" 404  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
174.146.104.36 - - [13/Aug/2023:00:12:15 +0300] "PATCH /forum/openforums.org HTTP/1.0" 502  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
