216.34.210.210 - - [14/Aug/2023:00:00:51 +0300] "PATCH /c/csharp.gcc HTTP/1.0" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
124.224.196.88 - - [14/Aug/2023:00:02:06 +0300] "POST /forum/openforums.org HTTP/1.0" 201  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
39.15.207.145 - - [14/Aug/2023:00:03:13 +0300] "POST /forum/openforums.org HTTP/1.1" 404  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
141.60.137.86 - - [14/Aug/2023:00:04:33 +0300] "GET /google.com HTTP/2" 200  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
210.176.10.1 - - [14/Aug/2023:00:05:43 +0300] "GET /forum/openforums.org HTTP/2" 500  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
46.254.94.86 - - [14/Aug/2023:00:06:58 +0300] "GET /main/yandex.ru HTTP/1.1" 400  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
56.250.88.159 - - [14/Aug/2023:00:07:57 +0300] "PUT /forum/openforums.org HTTP/1.1" 403  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
6.246.55.170 - - [14/Aug/2023:00:09:12 +0300] "PATCH /forum/openforums.org HTTP/1.1" 200  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
231.46.232.19 - - [14/Aug/2023:00:10:16 +0300] "DELETE /downloads HTTP/1.1" 500  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
246.215.197.44 - - [14/Aug/2023:00:11:27 +0300] "GET /main/yandex.ru HTTP/1.1" 400  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
151.2.175.210 - - [14/Aug/2023:00:12:44 +0300] "PATCH /google.com HTTP/2" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
