88.148.59.116 - - [15/Aug/2023:00:01:11 +0300] "POST /forum/openforums.org HTTP/1.1" 502  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
239.56.235.53 - - [15/Aug/2023:00:02:07 +0300] "DELETE /main/yandex.ru HTTP/1.1" 400  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
201.71.56.131 - - [15/Aug/2023:00:03:09 +0300] "GET /forum/openforums.org HTTP/1.0" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
28.183.85.150 - - [15/Aug/2023:00:04:22 +0300] "POST /main/yandex.ru HTTP/2" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
107.149.164.162 - - [15/Aug/2023:00:05:31 +0300] "POST /c/csharp.gcc HTTP/2" 400  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
220.11.30.84 - - [15/Aug/2023:00:06:32 +0300] "PUT /forum/openforums.org HTTP/1.1" 200  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
144.238.17.56 - - [15/Aug/2023:00:07:26 +0300] "DELETE /main/yandex.ru HTTP/2" 201  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
59.32.26.234 - - [15/Aug/2023:00:08:19 +0300] "PATCH /google.com HTTP/1.0" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
66.15.17.100 - - [15/Aug/2023:00:09:16 +0300] "PATCH /main/yandex.ru HTTP/1.0" 400  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
243.155.117.222 - - [15/Aug/2023:00:10:28 +0300] "GET /forum/openforums.org HTTP/2" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
24.9.142.142 - - [15/Aug/2023:00:11:50 +0300] "DELETE /google.com HTTP/1.1" 403  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
77.140.121.11 - - [15/Aug/2023:00:12:54 +0300] "POST /google.com HTTP/2" 403  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
82.74.55.80 - - [15/Aug/2023:00:14:08 +0300] "PATCH /main/yandex.ru HTTP/2" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
189.180.59.158 - - [15/Aug/2023:00:15:10 +0300] "PUT /forum/openforums.org HTTP/1.1" 201  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
152.125.128.111 - - [15/Aug/2023:00:16:09 +0300] "POST /main/yandex.ru HTTP/1.0" 404  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
219.70.166.11 - - [15/Aug/2023:00:17:16 +0300] "DELETE /c/csharp.gcc HTTP/2" 502  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
24.66.62.217 - - [15/Aug/2023:00:18:26 +0300] "PUT /forum/openforums.org HTTP/2" 403  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
76.24.224.193 - - [15/Aug/2023:00:19:46 +0300] "PATCH /forum/openforums.org HTTP/2" 500  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
124.37.121.235 - - [15/Aug/2023:00:20:51 +0300] "PATCH /main/yandex.ru HTTP/1.1" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
